"","Fraction1_Ctrl_Rep1","Fraction1_RNase_Rep1","Fraction1_Ctrl_Rep2","Fraction1_RNase_Rep2","Fraction1_Ctrl_Rep3","Fraction1_RNase_Rep3","Fraction2_Ctrl_Rep1","Fraction2_RNase_Rep1","Fraction2_Ctrl_Rep2","Fraction2_RNase_Rep2","Fraction2_Ctrl_Rep3","Fraction2_RNase_Rep3","Fraction3_Ctrl_Rep1","Fraction3_RNase_Rep1","Fraction3_Ctrl_Rep2","Fraction3_RNase_Rep2","Fraction3_Ctrl_Rep3","Fraction3_RNase_Rep3","Fraction4_Ctrl_Rep1","Fraction4_RNase_Rep1","Fraction4_Ctrl_Rep2","Fraction4_RNase_Rep2","Fraction4_Ctrl_Rep3","Fraction4_RNase_Rep3","Fraction5_Ctrl_Rep1","Fraction5_RNase_Rep1","Fraction5_Ctrl_Rep2","Fraction5_RNase_Rep2","Fraction5_Ctrl_Rep3","Fraction5_RNase_Rep3","Fraction6_Ctrl_Rep1","Fraction6_RNase_Rep1","Fraction6_Ctrl_Rep2","Fraction6_RNase_Rep2","Fraction6_Ctrl_Rep3","Fraction6_RNase_Rep3","Fraction7_Ctrl_Rep1","Fraction7_RNase_Rep1","Fraction7_Ctrl_Rep2","Fraction7_RNase_Rep2","Fraction7_Ctrl_Rep3","Fraction7_RNase_Rep3","Fraction8_Ctrl_Rep1","Fraction8_RNase_Rep1","Fraction8_Ctrl_Rep2","Fraction8_RNase_Rep2","Fraction8_Ctrl_Rep3","Fraction8_RNase_Rep3","Fraction9_Ctrl_Rep1","Fraction9_RNase_Rep1","Fraction9_Ctrl_Rep2","Fraction9_RNase_Rep2","Fraction9_Ctrl_Rep3","Fraction9_RNase_Rep3","Fraction10_Ctrl_Rep1","Fraction10_RNase_Rep1","Fraction10_Ctrl_Rep2","Fraction10_RNase_Rep2","Fraction10_Ctrl_Rep3","Fraction10_RNase_Rep3","Fraction11_Ctrl_Rep1","Fraction11_RNase_Rep1","Fraction11_Ctrl_Rep2","Fraction11_RNase_Rep2","Fraction11_Ctrl_Rep3","Fraction11_RNase_Rep3","Fraction12_Ctrl_Rep1","Fraction12_RNase_Rep1","Fraction12_Ctrl_Rep2","Fraction12_RNase_Rep2","Fraction12_Ctrl_Rep3","Fraction12_RNase_Rep3","Fraction13_Ctrl_Rep1","Fraction13_RNase_Rep1","Fraction13_Ctrl_Rep2","Fraction13_RNase_Rep2","Fraction13_Ctrl_Rep3","Fraction13_RNase_Rep3","Fraction14_Ctrl_Rep1","Fraction14_RNase_Rep1","Fraction14_Ctrl_Rep2","Fraction14_RNase_Rep2","Fraction14_Ctrl_Rep3","Fraction14_RNase_Rep3","Fraction15_Ctrl_Rep1","Fraction15_RNase_Rep1","Fraction15_Ctrl_Rep2","Fraction15_RNase_Rep2","Fraction15_Ctrl_Rep3","Fraction15_RNase_Rep3","Fraction16_Ctrl_Rep1","Fraction16_RNase_Rep1","Fraction16_Ctrl_Rep2","Fraction16_RNase_Rep2","Fraction16_Ctrl_Rep3","Fraction16_RNase_Rep3","Fraction17_Ctrl_Rep1","Fraction17_RNase_Rep1","Fraction17_Ctrl_Rep2","Fraction17_RNase_Rep2","Fraction17_Ctrl_Rep3","Fraction17_RNase_Rep3","Fraction18_Ctrl_Rep1","Fraction18_RNase_Rep1","Fraction18_Ctrl_Rep2","Fraction18_RNase_Rep2","Fraction18_Ctrl_Rep3","Fraction18_RNase_Rep3","Fraction19_Ctrl_Rep1","Fraction19_RNase_Rep1","Fraction19_Ctrl_Rep2","Fraction19_RNase_Rep2","Fraction19_Ctrl_Rep3","Fraction19_RNase_Rep3","Fraction20_Ctrl_Rep1","Fraction20_RNase_Rep1","Fraction20_Ctrl_Rep2","Fraction20_RNase_Rep2","Fraction20_Ctrl_Rep3","Fraction20_RNase_Rep3","Fraction21_Ctrl_Rep1","Fraction21_RNase_Rep1","Fraction21_Ctrl_Rep2","Fraction21_RNase_Rep2","Fraction21_Ctrl_Rep3","Fraction21_RNase_Rep3","Fraction22_Ctrl_Rep1","Fraction22_RNase_Rep1","Fraction22_Ctrl_Rep2","Fraction22_RNase_Rep2","Fraction22_Ctrl_Rep3","Fraction22_RNase_Rep3","Fraction23_Ctrl_Rep1","Fraction23_RNase_Rep1","Fraction23_Ctrl_Rep2","Fraction23_RNase_Rep2","Fraction23_Ctrl_Rep3","Fraction23_RNase_Rep3","Fraction24_Ctrl_Rep1","Fraction24_RNase_Rep1","Fraction24_Ctrl_Rep2","Fraction24_RNase_Rep2","Fraction24_Ctrl_Rep3","Fraction24_RNase_Rep3","Fraction25_Ctrl_Rep1","Fraction25_RNase_Rep1","Fraction25_Ctrl_Rep2","Fraction25_RNase_Rep2","Fraction25_Ctrl_Rep3","Fraction25_RNase_Rep3"
"RL27_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11794,20120,6167.8,8466.8,7370.3,17866,17462,41735,8022,7735.7,6578.6,17344,0,0,0,0,0,0,30600,44791,7851.3,16241,11250,12372,32026,73073,5358.9,12898,13215,18594,23777,32640,4615.3,9075.7,5401.4,6135.2,15197,44837,9029.3,23007,9891.3,19175,25287,37331,13466,9060.1,10900,14679,23271,27248,18501,13414,18141,10526,20656,14242,19954,5445.3,11067,3978,24077,14504,20365,5599.1,9682.3,6032.4,41210,17181,40735,2488.2,40855,5722.4,18302,3846.7,14488,1514.1,7006.7,1527.1,256080,4658.2,352090,361.81,74210,2131.6,416950,6214.6,425070,766.51,64367,5920.1,471070,5236.5,397290,607.86,103590,4710.6,174880,18768,109320,6631.5,95970,3468.4,177770,49531,279230,82630,93270,6725.2
"PHS_HUMAN",0,0,0,0,0,0,12589,0,7397.9,1284.2,6696.2,14146,70553,34902,55815,29048,39392,14714,60159,12081,158400,1673,60760,90868,80015,73928,56678,26771,28977,42303,55556,50177,6864.1,21062,24863,38601,104820,119610,60999,38859,40429,56560,52111,51485,30143,18566,29161,33331,0,0,0,0,0,0,4944,6072.3,2603.5,1131.9,2934.2,2120.9,2527.7,2556.3,1185.8,697.18,697.58,867.13,2251.3,1645.3,716.69,487.57,1008.3,930.43,1374.2,1168.1,643.34,670.85,369.56,281.89,1168.7,840.12,638.91,511.3,422.81,332.74,1477.8,872.46,605.98,406.63,540.91,252.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RHOA_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,33886,59444,41429,15637,21281,14612,36454,12193,83602,2037.5,33612,73194,40909,29222,16810,9408.3,11781,21521,40878,48483,4799.7,6091.5,10212,26808,10231,12523,5046.4,2601.8,3124.2,6596.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30254,19147,5475,4474.9,15149,3202.8,17262,21886,4880.4,3434,13640,3908.9,25374,12133,3034.2,3968.8,6897.2,928.79,0,0,0,0,0,0,11944,8607.1,4232.9,1793.8,5452.1,3226.5,2472.3,2274.7,1370.7,1016.9,2102.1,781.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PFD3_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47938,50839,59303,12551,24411,39796,187990,155000,32639,56248,75437,78508,138280,145260,79888,59222,64329,62337,8591.8,8648,3795.3,3367,5454.5,5104.5,21271,15651,7860.5,3341.9,5487.4,6259.1,9476.5,6799.6,2838.3,1635.9,3747.7,2364.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RL37_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23443,5283,22067,1183.5,4340.3,6864.8,2275,1989.7,1492.1,1185.5,2612.4,1490.2,47779,30916,27791,5758.1,6073.2,13988,2175.1,1591.9,728.34,584.86,329.16,497.27,55686,51276,17451,4608.9,7202.5,12467,6446.2,3884.3,1862.1,1433.9,1831.5,1384.2,19748,31970,5927.1,12359,6302.5,8336.7,0,0,0,0,0,0,21546,28409,4111.5,9740,3787.6,4555.9,18718,41657,7579.1,22109,7402.3,15264,17573,22060,10337,5169.7,7152,8743.3,0,0,0,0,0,0,35370,7042.7,41426,1438.5,24206,2924.9,71612,20473,80081,5736.6,34400,9288.4,51468,11992,52457,882.73,31384,6735.1,39276,3895.2,21288,1220.1,11700,1626.4,66151,5017.9,94945,0,17787,1971.5,89799,3347,74514,85.468,10103,1627.4,44060,2830,31794,185.86,10119,887.18,50326,6982.7,40252,3170.1,25470,1580.4,32600,6040.2,31308,10855,14678,760.5
"SUMO2_HUMAN",65259,11292,18406,20294,29098,35976,43297,0,42226,3411.3,12028,40216,24319,49575,26351,8981.2,12275,9839.6,58642,29520,66392,2493.9,30198,102710,27544,33567,26917,6532.7,10206,17811,11666,15495,1931.9,2533,5679.2,9207.6,8030.3,9337.6,4972.7,2835.1,4736.1,5514,8357,8290.5,3831.8,1957.3,5545.3,6413.9,0,0,0,0,0,0,0,0,0,0,0,0,3424.1,2818.3,1153.6,1493.4,1682.1,1079.2,0,0,0,0,0,0,0,0,0,0,0,0,4175.7,5457.2,3087.1,3273.9,2527,1808.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WDR5_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17488,16489,7595.9,4362.3,11511,7372.8,0,0,0,0,0,0,11814,13907,4509.5,2733.6,5308.3,2596.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2737.1,47.737,3159.1,10.383,1146.1,94.563,4576.9,0,2500.8,0,354.84,0,8981.5,0,6099.9,0,2469.7,0,2104.2,145.39,1168.3,11.704,1311.6,0,0,0,0,0,0,0
"HNRPK_HUMAN",1880.6,615.51,647.1,1226.4,1611.3,1422.8,27900,126.83,18823,5069.9,16331,54414,51121,97276,48480,48053,48135,29823,130280,56405,210430,20627,109820,363190,180950,257950,128820,79090,80648,122830,253530,281640,26976,71431,124800,171950,96334,69685,75692,40281,58732,36402,242810,139650,137700,39332,109240,78223,229290,82178,107200,22365,67269,31874,159830,54078,72051,18437,75266,26038,160570,47280,60281,28550,51574,18469,127730,39325,42725,10593,44837,11371,106000,23203,29837,7221.6,22129,4357.6,63549,31345,51786,13537,31394,8770.8,87482,18345,48271,6167.4,28192,7694.6,62649,15982,43760,9644.9,33515,6440.7,34635,2977,26084,904.66,18160,1116.1,53292,7684.2,33399,4515,17869,3150,70669,4604.4,57818,749.67,33584,1870.1,53893,1314.2,25397,815.98,14820,369.5,32727,737.92,25887,151.67,9999.1,558.92,40607,214.84,26007,76.183,6507.8,845.89,22017,370.55,11295,79.666,4906.2,308.37,15941,860.53,7936.7,191.76,6600.6,159.56,20227,3293.9,14383,3389.1,7196.5,433.18
"1433G_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,23577,7590.7,10912,5053.6,6902.9,3206.4,140030,35145,79899,10925,42829,183740,120170,173820,149930,46886,50523,84735,56634,144180,14688,36947,41373,28951,26599,28002,19272,21017,20808,16575,37806,46108,18192,13579,14852,27339,10217,12050,1800.8,1935.9,3062.8,4473,0,0,0,0,0,0,0,0,0,0,0,0,14703,13827,3901.1,3712.1,6557.5,2723.1,11578,8175.4,2749.2,2450.2,3194,1401.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RS7_HUMAN",403.33,289.17,0,1382.5,322.93,804.6,20739,1338.6,11218,12401,6045.2,82192,23721,76296,13034,41727,7936.8,16768,48664,63660,59731,18760,30098,218800,68880,242720,49239,65650,30437,121970,71853,163550,12461,36833,26100,102270,84528,229690,58739,63308,31086,99833,50208,127530,21222,34213,27975,71895,59483,128850,20689,33331,16171,32225,142820,211010,38177,35401,53052,42203,57425,114500,15320,25625,24300,12353,93869,161920,32417,22599,52128,19579,104840,73738,24496,18325,28474,8909.9,34500,39016,26139,16951,24637,10007,100330,51640,59731,13954,54722,14115,41141,14391,38010,6814.7,37932,3551.1,79101,3921,92959,426.83,66705,752.07,120040,4290.3,144130,309.26,74640,1964.1,84735,5356.9,94425,42.18,76572,2206.4,61766,2579.1,50360,75.276,40142,779.73,127100,518.96,183080,0,50709,166.6,355390,52.626,216920,22.59,42898,1675.4,221640,119.12,123320,0,45084,710.09,58307,1135.1,36811,282.31,26717,562.25,66968,5883.7,77611,9130.4,28964,853.64
"PP1B_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7629.9,815.54,10119,253.32,11080,12028,24814,29755,25849,14795,19645,23317,28875,26335,4319.7,16191,21391,22712,6880.9,6701.3,4410.4,5723.2,6189.4,4600.4,14491,15634,11373,9553.1,7365.2,8598.7,9613.8,9084.8,4114.3,4245.4,4290.4,3171.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCS1_HUMAN",314.22,0,0,192.91,160.06,0,2507.5,2.4325,1747.6,679.22,867.41,2151,5340,4838.4,3993.8,3575,3401.9,1819.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRS4_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97695,76655,54407,28478,66077,71796,250050,227080,109120,37827,69380,72511,121320,61965,44384,20616,69166,29086,189380,111310,50340,37546,88002,25028,208720,181380,81588,46317,167560,57016,470570,204750,117600,78462,104380,47247,139880,200840,110950,86412,83445,58593,117670,87083,72433,30806,53560,40106,56188,34021,43183,23704,22953,14927,27393,14199,28546,6722.5,11659,3294.6,26612,16102,25256,8981.9,11068,5607.4,6257.7,4956.3,4820.7,1386.8,3967.4,2036.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRS8_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6445.5,6456.6,4355.3,2320,4413,5301.6,0,0,0,0,0,0,20329,20145,12180,5689.4,6836.5,12031,0,0,0,0,0,0,11279,9146.2,5626.1,2239.7,3274.9,3342.6,18475,10334,6944.8,4119,9657,4015.5,169680,117560,50148,46478,72446,25737,151380,130070,52703,37593,86192,31950,307100,150620,76702,54319,65731,30151,122420,174200,105390,71752,78584,44470,105100,81969,63994,23829,42079,33792,39275,31845,38862,17806,19758,13621,13779,8009.5,16869,3820.6,7123.6,2256.5,10525,6396.7,8977.5,2572.8,4380.5,2229.4,3417.5,2458.1,2526.6,613.36,1804.5,880.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RS8_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7048.3,8390.3,4994.6,4032,3241.2,4723.7,0,0,0,0,0,0,10646,10029,6079.7,3922.2,4233.3,4488,10311,7777.8,3279.3,2853.3,4828.9,2896,22749,28327,7415.5,11253,10566,9029.8,26826,45014,6442.8,9627.5,10627,9223.4,12278,12074,2916.2,3468.4,3159.7,2330.3,10432,22792,7448.3,11311,7335.4,7267.2,14907,14740,7720.5,4884.7,5697.4,4431.3,21902,17259,14344,10853,16296,5587.5,72966,17648,77027,6202.8,59395,4120,91014,22380,81611,9247.8,43809,7640.7,100380,23611,91393,5447.1,68340,9467.8,58753,10850,43627,3758.7,29755,3790.4,168300,7115.5,222190,0,54370,2547.4,253460,2083.9,203510,585.79,42088,3130.4,246400,7447.2,194010,96.446,61906,4236.9,142620,16483,93332,11411,83053,4774.8,88031,25905,101650,42109,42173,4420.4
"RS16_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7846.7,1400.9,13093,340.01,8511.3,24532,0,0,0,0,0,0,0,0,0,0,0,0,23213,24001,13981,22261,14032,25660,42122,55330,25874,28915,21297,48230,27940,32775,6577.2,12887,8675,15871,44561,56032,11984,24616,20588,29313,20732,43032,4573.8,27695,6989.8,16894,41091,58206,8564.3,17336,13542,17740,51324,68453,9040.6,26348,13315,15589,36425,118640,22497,69423,28541,48632,50043,62225,24672,31293,23808,29817,35353,51969,29718,34036,39117,23054,53768,25259,62206,15304,76040,7447.5,76217,26150,78537,12142,66164,10455,106750,30919,125250,10742,107040,14315,80480,17378,64859,6444.4,45522,4888.9,135670,10945,207710,344.36,51520,3140.4,197200,4201.7,187140,229.08,32519,3045.5,200250,4829.7,143810,388.81,42415,2724.2,124530,11728,78540,6826.7,44244,2115.5,145620,46470,159530,51070,59889,4729.1
"UB2G1_HUMAN",0,0,0,0,0,0,10531,0,5231.6,1036.9,3327.8,7317.5,2023.6,2556.1,1904.9,1138.9,1620.6,591.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1433E_HUMAN",0,0,0,0,0,0,34332,0,13769,2365.5,13298,28199,125990,68630,74114,33751,55474,32984,236320,78629,344000,9062.6,102560,379200,268770,312040,285350,61264,76821,144990,300500,371840,23913,68936,97474,186410,153760,159820,97212,86491,87112,88820,183530,233160,77881,58058,83944,143900,44192,42096,21622,10224,15548,16713,0,0,0,0,0,0,21917,22314,5565.4,6732.1,12133,3883.6,0,0,0,0,0,0,14823,8915.9,3711.8,3973,4337.5,1812.4,0,0,0,0,0,0,11221,8170.3,5360,2928.9,4073.7,2358,3718.9,4243.5,2142.9,2221.5,2102.6,992.49,0,0,0,0,0,0,2009.2,649.36,1863,308.71,983.44,330.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RS23_HUMAN",1349.3,158.48,246.28,496.89,600.12,792.82,4178.3,0,2344.4,1229.1,2103.3,9496.4,7612.9,10905,5798.9,4272.6,4565.8,3810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39375,32225,21402,5174.6,13184,14369,4614,6463,2540.5,1727.8,4050.2,3448.9,50304,54760,18108,21948,21879,14576,63140,76857,20331,21860,26126,16050,37874,28568,8773.2,8753.1,9348.4,6089.1,2478.2,3983.3,2033.9,2223.5,1645.2,1702.8,32944,31095,22179,8088,15766,13402,12643,10581,10347,7079.6,8690.2,5238.8,46532,21866,47485,6497.7,36823,5816.6,69364,24532,72195,6439.7,38334,8838.3,42722,18953,45065,3240.6,38924,7592.3,48813,7015.8,28208,1443.3,26037,1803.2,81564,5494.7,106550,87.68,28868,2569.7,109420,2845.4,100800,3943.2,19677,6663.4,106040,1537.3,74772,214.08,24948,1692.9,72069,6560.8,38481,4036,39376,1797.7,60446,13414,59106,26229,22245,3224.4
"RS18_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5921.5,2401.7,9271,725.27,5165.2,31789,39425,45968,26946,18710,16302,55712,52323,42788,5758.1,18614,19850,67413,43443,59098,28969,35338,26940,59072,58724,98177,28929,39866,28230,79678,60317,99479,28346,27454,17540,42963,16827,22390,5715.7,15007,11898,13358,82734,149960,24882,45700,36787,33844,75119,188180,24470,42307,39084,41634,77124,111710,14477,41197,18939,21745,28932,99408,16066,56033,19675,34725,54291,95321,26193,28282,22961,31181,43562,65982,35124,35982,43675,24942,70912,26985,74376,12263,70760,7648.1,84177,23240,94280,12108,55991,10548,82458,25164,90301,5769,74632,10056,75544,10877,49856,4012.4,35193,2892.9,139520,5306.6,183030,0,41845,2354.1,164830,1114.8,136410,86.021,28044,3119.1,218390,946.58,156850,347.98,45929,2313.2,85642,6684.5,67298,3702.2,38230,3237.4,89941,17171,103800,23468,31442,1552.8
"RS13_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13115,14650,3916.5,10931,7196,8555.4,31817,37655,10993,18747,14086,8732,24191,42924,7582.9,17388,11639,10621,2885.6,2718.1,502.86,1253.8,728.79,869.09,14917,30756,10057,17678,10939,12066,12138,13668,7334.1,3965.2,5630.4,4528.6,11396,7717.1,6887.7,4098,6578.1,3225,30402,9221.3,30389,3993.4,18960,2722.4,80363,19193,91843,6048.6,41641,7128.6,43191,10517,36754,2912.5,28128,4215.7,31861,8199.1,27099,2255.4,16791,2014.3,177670,9276,227000,576.87,53097,2651,329250,1001,239500,149.43,47622,3659.2,255910,4090.9,195480,485.6,69338,5101.9,134480,10626,80979,7380.4,78487,2797.2,157670,25184,140150,56147,68655,5041.3
"RS11_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15480,9351,17152,2287.9,10945,69942,0,0,0,0,0,0,21363,36684,2976.6,14680,10095,45102,18129,34110,8667.5,18034,8585.2,30562,25004,55162,10007,22036,15163,53195,57251,117820,21730,25936,18774,48821,33300,100300,7576.5,14416,19229,29805,45693,124150,10976,37007,18706,22089,37258,125130,7442.8,26042,17020,24708,27345,50003,4060,17707,6679.6,7411.7,30394,157140,18532,79533,21920,41681,39492,108870,17118,21021,14231,24400,21984,38641,15541,21521,15202,11468,43202,17834,54080,5672.6,31541,2673.3,113570,34929,127680,12377,69164,9639.1,61986,23754,68787,2890.6,50314,7257.1,109070,21908,78445,2534.3,51080,4990.4,87451,5305.2,126720,0,31284,1677.2,190280,1736.1,172080,249.72,29356,2362.1,117120,3131.6,88532,480.44,22451,1731,80354,6828.9,51470,2234.1,42156,1209,55599,15324,71771,22819,24482,2624.8
"RUXE_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,2763,1993.6,1941.2,1121.3,1526.6,720.46,0,0,0,0,0,0,5636.1,12440,6016.2,4420.2,2598.6,10224,9018.7,28484,2478,8200.3,4931.5,10189,9713.2,31258,5281.2,24470,4223,21407,10859,25058,8022.2,11708,10784,25484,27173,25101,16685,6188.7,10129,10258,42902,37326,18290,9855.7,32257,15117,33140,21112,10655,9143.6,13972,5570.3,76147,45743,28511,12860,40970,13715,14678,7634.4,5133.6,2332.4,5107.8,1864,8176.1,9144.9,6852.8,5179.4,7319,3804.8,3647.9,2129.6,2135.6,1079.2,3607.2,1160.5,2516.2,2495.8,2289.3,1440.7,2291,878.69,11108,2389.1,11338,1462.8,7213.7,772.84,9147.4,4156,7322.2,876.22,4143,820.68,8430.5,867.96,7014,483.63,5032.8,720.61,0,0,0,0,0,0,5722,606.35,6885.7,61.381,1924.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2175.4,92.414,1871.5,0,896.11,0,0,0,0,0,0,0
"LSM3_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,9218.4,8019.1,8833.3,5455.6,5953,2056.6,22668,11730,37392,2498.9,31880,58328,32114,58981,32443,27986,30332,45824,3745.2,5568.2,1009,2526.3,3199.2,3322.5,29320,36262,21052,21216,19192,20621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17438,13307,8278.6,2967.5,7961.3,1679,15699,5982.1,4641.7,2012.5,3607.1,548.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9347.6,2298.4,7506.3,1707.5,5437.2,814.3,0,0,0,0,0,0,0,0,0,0,0,0,4810.2,656.42,5501,60.106,2650.8,198.11,7218.3,0,5687,0,1556.3,0,8147.9,27.345,5136.3,0,1930.9,109.56,0,0,0,0,0,0,4816.1,460.95,4068.1,1084.9,1701.6,0
"LSM6_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2950.2,1149.2,8046.8,183.19,8385.9,14437,36720,46704,19176,27044,25762,47049,45323,54770,3293.6,19892,22254,69645,56190,86984,33669,22953,20265,37336,23103,20600,13465,8765,12413,16586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1789.5,49.08,1809.7,4.7548,1344.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
